68,61,85,64
78,76,72,67
88,82,64,51
77,73,65,64
42,80,40,62
94,26,52,47
70,64,71,65
77,75,61,65
65,55,92,71
57,55,64,38
77,72,94,19
76,79,68,65
92,77,78,63
75,76,65,66
74,88,82,62
76,84,75,65
56,75,69,57
95,87,79,69
76,80,74,67
40,65,64,39
71,85,54,80
90,84,48,37
78,97,81,46
75,78,70,62
75,80,73,65
78,78,74,63
74,77,66,62
57,90,62,67
78,68,62,64
56,42,39,48
95,72,32,18
76,83,65,68
74,74,72,68
77,76,70,67
89,93,74,41
78,75,67,67
47,82,52,53
50,96,81,26
69,89,49,51
73,82,72,65
76,83,66,67
76,80,50,59
76,71,70,64
71,78,48,34
79,80,74,61
36,63,50,96
61,78,73,66
64,78,72,62
75,70,72,67
71,71,70,61
65,73,61,76
72,83,72,49
75,81,75,67
77,77,67,66
73,83,72,67
41,82,54,92
74,89,57,62
78,83,73,65
76,85,50,59
48,64,55,7
89,94,62,60
63,29,26,50
69,78,71,66
74,70,54,14
75,79,75,56
69,77,73,65
78,77,72,68
75,80,70,61
76,79,73,61
71,82,70,67
76,60,71,40
40,87,52,73
65,72,56,61
37,64,72,91
66,78,74,63
79,79,68,62
77,80,66,64
77,73,75,64
64,89,29,49
86,51,78,55
77,81,71,68
77,77,72,68
54,77,63,41
73,82,73,53
72,77,74,63
79,79,67,64
56,98,84,49
59,32,55,61
84,81,52,59
78,80,75,67
52,88,62,67
98,83,37,52
73,77,71,45
35,34,71,55
56,77,81,62
71,82,58,67
63,49,25,33
73,85,77,56
58,79,38,88
87,53,62,74
91,84,52,67
77,82,74,66
76,93,41,67
87,90,99,59
74,87,77,51
78,82,65,66
73,82,71,66
72,80,73,67
23,82,28,61
50,46,73,45
48,65,37,45
77,81,73,65
77,81,72,59
52,65,19,78
65,63,16,28
86,99,74,41
37,95,95,61
78,79,67,64
54,28,79,3
75,93,65,63
46,33,29,41
76,63,45,60
69,82,67,68
76,78,70,67
63,58,66,30
77,78,72,60
73,78,77,54
78,95,26,45
83,70,73,66
99,91,68,58
76,78,75,68
75,81,73,67
75,82,64,63
64,97,25,41
76,79,72,62
45,46,45,74
76,80,71,67
76,76,71,66
54,67,58,50
79,83,43,64
74,82,48,62
75,82,61,64
66,66,91,49
77,77,67,62
78,72,72,59
75,79,71,58
77,77,70,53
61,69,41,50
84,43,54,51
73,80,74,67
78,79,66,68
74,75,74,68
45,94,35,43
71,80,67,66
78,81,73,58
75,77,71,67
83,70,40,69
75,83,71,65
60,87,60,76
45,38,96,4
72,72,70,59
79,69,74,64
75,81,72,65
57,93,56,55
78,83,44,67
76,82,74,66
50,97,59,54
73,74,73,64
75,82,74,66
72,80,65,66
85,73,51,51
90,47,67,55
79,73,42,37
51,80,71,68
59,95,98,71
76,82,74,66
87,86,62,45
47,63,69,91
38,71,62,32
77,81,71,68
90,47,44,89
76,80,74,63
97,94,95,66
100,85,78,51
75,79,81,46
77,78,68,64
75,81,67,65
52,41,44,46
75,65,74,68
74,81,75,66
31,29,51,43
76,82,73,62
69,70,59,65
97,96,42,58
64,73,70,57
73,79,68,62
56,72,45,95
73,82,69,61
92,87,89,62
77,80,68,66
59,66,62,22
77,82,75,62
56,85,69,53
74,81,57,64
78,82,72,62
27,60,38,40
75,81,74,67
98,98,45,35
77,77,71,67
55,88,35,93
60,94,60,68
74,81,72,66
81,56,1,17
64,81,71,64
69,82,71,66
71,64,64,54
75,79,68,67
78,75,71,67
32,45,75,53
72,79,72,67
74,81,72,67
78,63,75,68
70,78,73,63
72,80,71,68
61,90,57,26
99,84,55,47
77,79,73,54
70,76,74,57
75,81,72,66
50,55,49,71
78,73,69,66
78,83,65,62
78,94,52,43
71,78,65,63
75,60,62,52
75,82,75,65
77,77,70,67
76,68,73,66
72,81,70,63
95,60,52,53
74,82,65,52
98,63,40,50
76,78,74,66
31,74,62,48
76,80,72,66
77,80,73,62
76,94,51,57
77,82,70,64
63,78,64,60
74,60,69,65
71,100,78,64
72,76,65,69
76,81,72,55
72,78,70,67
78,82,64,64
98,86,84,52
48,88,72,62
74,86,93,46
66,87,46,82
39,98,51,78
51,90,32,47
86,92,83,35
51,31,70,33
74,92,62,59
81,82,62,75
48,75,48,80
63,81,36,35
76,81,66,65
92,81,90,62
66,67,53,77
86,72,81,80
79,79,71,64
78,68,57,49
78,80,71,68
93,50,53,43
73,81,51,44
70,83,74,68
96,77,31,48
78,79,69,67
79,83,37,64
77,80,10,47
98,67,41,21
91,73,55,45
51,53,56,34
81,88,35,52
73,58,37,36
88,97,20,81
76,83,75,63
53,80,13,41
71,79,72,68
85,66,46,43
68,82,74,68
89,82,38,28
36,87,72,70
75,76,69,65
76,82,62,66
68,69,27,47
79,72,68,67
78,83,72,68
79,75,70,66
